zero_shot_no_context_gpt,zero_shot_no_context_llama,instruct_prompt_no_context_gpt,instruct_prompt_no_context_llama,few_shot_no_context_gpt,few_shot_no_context_llama
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
application,synthesis,application,comprehension,application,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,analysis,synthesis,synthesis,synthesis,analysis
analysis,analysis,comprehension,analysis,analysis,analysis
application,application,application,analysis,application,application
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application,application
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
application,application,synthesis,application,application,application
evaluation,evaluation,synthesis,evaluation,synthesis,synthesis
synthesis,application,synthesis,synthesis,synthesis,synthesis
application,application,synthesis,synthesis,synthesis,synthesis
synthesis,application,synthesis,application,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,comprehension,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,application,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,application,knowledge,knowledge,knowledge,knowledge
evaluation,application,evaluation,synthesis,evaluation,application
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,evaluation,comprehension,evaluation,analysis,evaluation
synthesis,analysis,synthesis,analysis,synthesis,analysis
knowledge,comprehension,knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis,analysis,analysis
synthesis,analysis,analysis,comprehension,analysis,analysis
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application,application
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,comprehension,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application,application
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
application,application,application,application,synthesis,synthesis
analysis,application,analysis,analysis,analysis,analysis
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
comprehension,analysis,comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,evaluation,synthesis,synthesis,synthesis,evaluation
evaluation,application,comprehension,evaluation,comprehension,evaluation
analysis,comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,application,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
analysis,evaluation,analysis,evaluation,analysis,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
application,application,application,application,application,application
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,application,comprehension,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis,analysis
analysis,application,application,application,application,application
synthesis,application,application,application,synthesis,application
application,comprehension,application,synthesis,application,application
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,comprehension,knowledge,knowledge,knowledge,comprehension
knowledge,comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,application,application,application,synthesis,synthesis
synthesis,application,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis,analysis
application,synthesis,application,synthesis,application,analysis
analysis,analysis,analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis,analysis,analysis
evaluation,evaluation,evaluation,evaluation,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
application,analysis,application,application,application,application
application,synthesis,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
